股票代码,涨跌链接字符串
sh688062,021100111100001101000100100011111020010101002110100000010101
sh688757,111101102010102100010110101000011000100101010101101010111112
sh688047,110101201000010000010110101000010010110111001100010011101100
sh688398,111001111100100110001010100011001101110011000011000000011011
sh603616,010101111100110100001111101001011010111101001100001000201101
sh600595,100000110110111100101000001110001100100001111111110110011101
sh600961,110101211110111000011010010110110100100101111011101100001001
sh605058,111000101010111110101011100000111000100111010001111010011001
sh605277,101000101000111010100110100000101000101100111001101110011102
sh600643,001100110101111100100010101010010000110111110101101100011200
sh600152,010000101100111010001010101000111000111101100000001000111111
sh605378,110000111100011011001111101001111000110101100110101100111212
sh603132,010001111000111000001110011000111001101001101001100000010001
sh600967,001101211100111100001111101000111010111010010111011111011112
sh600743,000101110100111100100100001010010000010111101000100000011001
sh600241,011100111110101110111010100011101000110101101001001000111121
sh603130,101000111110101010101111000010110010011011100100000100111112
sh603196,011000111100101011100010010000111010110101101100001100111102
sh603871,010001110000101100100010101010001100001100100010101100001002
sh600666,101100101100111010110010100010011000100100100100001100111111
sh600281,010101111100111000111121001010211011101001001112012200010101
sh603316,011100111010101010101111111001111000101111101001101010111021
sh600960,100100010001110011111011111010110110001010100111110000011110
sh601718,010101101100100100111011011000010000110101100000020110011111
sh688433,101000111000001020101110001000110000100101110111001110110101
sh688020,011000101000001000001110001000101001110101111101001010011101
sh603228,101001101000111010101110101010101110111111111000101010011111
sh688061,011001111000101100001110101000111000110101111101101110011101
sh601162,000100101100111000100110101010001000100101110101101000011101
sh603758,001000111100111011111011001000200001010101011001110110111101
sh600331,110000111100101000111101101010010101100000011100110100011101
sh601606,010001201100101000001111111010110110100111010100010121111211
sh600375,010110011111100101100010101000011101111100010000101101010101
sh688081,101101111001001010101001112001001010100101100000000000010111
sh603665,110000120110111111011010001000211010001110101101010001011001
sh605196,001000000010110011111110101110101110111001110010101000011011
sh600395,010101100101100011011110000111010100011100100101010100110101
sh603093,010000111100111100001010101010011000100111101201201020011212
